2point_cube_id,2point_release_label,2point_value,3point_cube_id,3point_over_2point_ratio,3point_release_label,3point_value,L_sub_cells,direction,ell_cells,interpretation,p_value,physical_region_id,q_name,selection_set,supported_labeled_stencil_diagnostic
L160_sub30664,L160_lineage_smoke_baseline,1.9696192178779698e-05,L160_sub30664,0.008148787511684578,L160_lineage_smoke_3point,1.6050008485417945e-07,160,parallel,0.8660254037844386,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,3.755137656052303e-05,L160_sub30664,0.03413848413187295,L160_lineage_smoke_3point,1.2819470728414013e-06,160,parallel,1.9364916731037085,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,3.8870957793078267e-05,L160_sub30664,0.027095979613350193,L160_lineage_smoke_3point,1.0532466799126445e-06,160,parallel,2.958039891549808,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,7.249086864310381e-05,L160_sub30664,0.06441255611208961,L160_lineage_smoke_3point,4.669322144088042e-06,160,parallel,3.968626966596886,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.00010380836060890658,L160_sub30664,0.059149601973291305,L160_lineage_smoke_3point,6.140223211516716e-06,160,parallel,4.9749371855331,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.00010109264401675529,L160_sub30664,0.1221766096416128,L160_lineage_smoke_3point,1.2351156505673634e-05,160,parallel,5.979130371550699,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.00021654872611796645,L160_sub30664,0.12765383250208776,L160_lineage_smoke_3point,2.7643274812403363e-05,160,parallel,6.98212002188447,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.00021389696191556997,L160_sub30664,0.10450865150639696,L160_lineage_smoke_3point,2.2354083051111364e-05,160,parallel,7.984359711335656,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.0002770591597786006,L160_sub30664,0.14208864467760224,L160_lineage_smoke_3point,3.93669605084566e-05,160,parallel,8.986100377805714,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.00032924546839918124,L160_sub30664,0.12879654996048187,L160_lineage_smoke_3point,4.24056804199374e-05,160,parallel,9.987492177719089,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.00039251295011477627,L160_sub30664,0.17825143832399448,L160_lineage_smoke_3point,6.996599791875316e-05,160,parallel,10.988630487917955,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.0004454198843958331,L160_sub30664,0.2135040455950433,L160_lineage_smoke_3point,9.509894730698687e-05,160,parallel,11.989578808281799,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.0006511513258657317,L160_sub30664,0.17545833172387437,L160_lineage_smoke_3point,0.00011424992533619018,160,parallel,12.99038105676658,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.0005752946374306868,L160_sub30664,0.2082220552440734,L160_lineage_smoke_3point,0.00011978903177671163,160,parallel,13.991068579633222,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
L160_sub30664,L160_lineage_smoke_baseline,0.0007687155548138959,L160_sub30664,0.19131569076749239,L160_lineage_smoke_3point,0.00014706734737293664,160,parallel,14.99166435056495,labeled 2-point versus 3-point comparison; the products remain distinct statistics,2.0,L640_sub00370,B,smoke,True
